T2 - T | 99 | Переход завершил работу | Маркер #49
T1 - F | 99 | Маркер иниц. срабатывание перехода | Маркер #50
T5 - J | 99 | Маркер иниц. срабатывание перехода | Маркер #49
T5 - J | 100 | Переход завершил работу | Маркер #49
T1 - F | 100 | Переход завершил работу | Маркер #50
T2 - T | 100 | Маркер иниц. срабатывание перехода | Маркер #50
T4 - T | 100 | Маркер иниц. срабатывание перехода | Маркер #50
T4 - T | 101 | Переход завершил работу | Маркер #50
T2 - T | 101 | Переход завершил работу | Маркер #50
T1 - F | 101 | Маркер иниц. срабатывание перехода | Маркер #51
T5 - J | 101 | Маркер иниц. срабатывание перехода | Маркер #50
T5 - J | 102 | Переход завершил работу | Маркер #50
T1 - F | 102 | Переход завершил работу | Маркер #51
T2 - T | 102 | Маркер иниц. срабатывание перехода | Маркер #51
T4 - T | 102 | Маркер иниц. срабатывание перехода | Маркер #51
T4 - T | 103 | Переход завершил работу | Маркер #51
T2 - T | 103 | Переход завершил работу | Маркер #51
T1 - F | 103 | Маркер иниц. срабатывание перехода | Маркер #52
T5 - J | 103 | Маркер иниц. срабатывание перехода | Маркер #51
