P5 | 79 | Позиция маркирована | Маркер #39
Q6 | 79 | Маркер уничтожен из конечной очереди | 
Q6 | 80 | Позиция маркирована | Маркер #39
P6 | 80 | Маркер покинул позицию | Маркер #39
P5 | 80 | Маркер покинул позицию | Маркер #39
Q2 | 80 | Позиция маркирована | Маркер #40
Q5 | 80 | Позиция маркирована | Маркер #40
Q6 | 80 | Маркер уничтожен из конечной очереди | 
P6 | 81 | Позиция маркирована | Маркер #40
P5 | 81 | Позиция маркирована | Маркер #40
Q6 | 81 | Маркер уничтожен из конечной очереди | 
Q6 | 82 | Позиция маркирована | Маркер #40
P6 | 82 | Маркер покинул позицию | Маркер #40
P5 | 82 | Маркер покинул позицию | Маркер #40
Q2 | 82 | Позиция маркирована | Маркер #41
Q5 | 82 | Позиция маркирована | Маркер #41
Q6 | 82 | Маркер уничтожен из конечной очереди | 
P6 | 83 | Позиция маркирована | Маркер #41
P5 | 83 | Позиция маркирована | Маркер #41
Q6 | 83 | Маркер уничтожен из конечной очереди | 
Q6 | 84 | Позиция маркирована | Маркер #41
P6 | 84 | Маркер покинул позицию | Маркер #41
P5 | 84 | Маркер покинул позицию | Маркер #41
Q2 | 84 | Позиция маркирована | Маркер #42
Q5 | 84 | Позиция маркирована | Маркер #42
Q6 | 84 | Маркер уничтожен из конечной очереди | 
P6 | 85 | Позиция маркирована | Маркер #42
P5 | 85 | Позиция маркирована | Маркер #42
Q6 | 85 | Маркер уничтожен из конечной очереди | 
Q6 | 86 | Позиция маркирована | Маркер #42
P6 | 86 | Маркер покинул позицию | Маркер #42
P5 | 86 | Маркер покинул позицию | Маркер #42
Q2 | 86 | Позиция маркирована | Маркер #43
Q5 | 86 | Позиция маркирована | Маркер #43
Q6 | 86 | Маркер уничтожен из конечной очереди | 
P6 | 87 | Позиция маркирована | Маркер #43
P5 | 87 | Позиция маркирована | Маркер #43
Q6 | 87 | Маркер уничтожен из конечной очереди | 
Q6 | 88 | Позиция маркирована | Маркер #43
P6 | 88 | Маркер покинул позицию | Маркер #43
P5 | 88 | Маркер покинул позицию | Маркер #43
Q2 | 88 | Позиция маркирована | Маркер #44
Q5 | 88 | Позиция маркирована | Маркер #44
Q6 | 88 | Маркер уничтожен из конечной очереди | 
P6 | 89 | Позиция маркирована | Маркер #44
